Vendor,Operator,Latitude,Longitude,State,Fuel_Type
Westar Cities Solar,SoCore Energy LLC,38.0199468,-97.9753963,KS,electric
Aziscohos Hydroelectric Project,Brookfield White Pine Hydro LLC,44.9431695,-71.0059898,NH,electric
Salmon Falls Hydro,Green Mountain Power Corp,43.226966,-70.810878,ME,electric
NE Renewable Power Whitefield,"NE Renewable Power Whitefield, LLC",44.3576437,-71.543645,NH,electric
International Paper Jay Hydro,"Eagle Creek Renewable Energy, LLC",44.5036248,-70.220941,ME,electric
Pontook Hydro Facility,Pontook Operating LP,44.6179654,-71.2260215,NH,electric
Turnkey Landfill Gas Recovery,Waste Management,43.2416487,-70.9668839,NH,electric
Kearsarge Amesbury Hybrid,Kearsarge Amesbury LLC,42.8371027,-70.9383627,MA,electric
Augusta PV - BD Solar Augusta LLC,BD Solar Augusta LLC,44.327536,-69.7286716,ME,electric
Fairfield PV - BD Solar Fairfield LLC,BD Solar Fairfield LLC,44.6322989,-69.5996224,ME,electric
Oxford PV - BD Solar Oxford LLC,BD Solar Oxford LLC,44.1500124,-70.47851,ME,electric
Georges River Energy,Robbins Lumber Inc,44.3331595,-69.200896,ME,electric
Hydro Kennebec Project,Hydro Kennebec LLC,44.5630309,-69.6191811,ME,electric
Rollinsford Hydro,Green Mountain Power Corp,43.236186,-70.8174852,NH,electric
Lockwood Hydroelectric Facility,Merimil Ltd Partnership,44.5454898,-69.6284929,ME,electric
White Lake Power Plant,Granite Shore Power,43.8476486,-71.2066721,NH,electric
Hooksett Power Plant,"Central Rivers Power NH, LLC",43.1010347,-71.465019,NH,electric
Lost Nation Power Plant,Granite Shore Power,44.595024,-71.4941841,NH,electric
Brunswick Hydroelectric Station,Brookfield White Pine Hydro LLC,43.9196156,-69.9676827,ME,electric
Gulf Island Power Plant,Brookfield White Pine Hydro LLC,44.1527577,-70.2093094,ME,electric
Messalonskee 5,Messalonskee Stream Hydro LLC,44.5342715,-69.6522427,ME,electric
Messalonskee 3,Messalonskee Stream Hydro LLC,44.5698591,-69.6818413,ME,electric
Squa Pan Hydro Station,Algonquin Northern Maine,46.5565061,-68.3255243,ME,electric
Williams Hydro,Brookfield White Pine Hydro LLC,44.9587284,-69.8704441,ME,electric
Wyman Hydro,Brookfield White Pine Hydro LLC,45.0698283,-69.9056956,ME,electric
Worumbo Hydro Station,"Eagle Creek Renewable Energy, LLC",43.9944581,-70.0615331,ME,electric
Burgess BioPower,"Berlin Station, LLC",44.471682,-71.1712784,NH,electric
Hemingway Substation,Santee Electric Cooperative,33.7496957,-79.4264834,SC,electric
Pringle Ferry Substation,Santee Electric Coorperative,33.4272803,-79.2924511,SC,electric
Little Falls Solar,Little Falls Solar,43.0593882,-74.8900276,NY,electric
Little Falls Solar 1,"Little Falls Solar 1, LLC",43.0537707,-74.8578499,NY,electric
Mattas Farms,AES Distributed Energy,42.8941048,-74.215784,NY,electric
Amsterdam North,Onyx Asset Services Group,42.9545036,-74.1223124,NY,electric
Amsterdam South,Onyx Asset Services Group,42.9480255,-74.1253889,NY,electric
"Blackhorse Farm Solar, LLC CSG",AES Distributed Energy,41.7169489,-71.2315393,MA,electric
Bonefish Solar,"Bonefish Solar, LLC",33.7214853,-80.1897904,SC,electric
Pacific Ethanol Madera Solar Array,"Seaboard Energy California, LLC",36.9162871,-119.9717121,CA,electric
Waldo Substation,Pacific Gas and Electric Company,37.9094186,-122.3068847,CA,electric
Wilburton Substation,Public Service Company of Oklahoma,34.913417,-95.3183837,OK,electric
South Substation,City of Harrisonville Electric Department,38.6457624,-94.347791,MO,electric
Ameren Illinois,Ameren,41.054613,-89.774346,IL,electric
Gibson Substation,DTE Energy,42.3469617,-83.0734379,MI,electric
Outer Drive Substation,DTE Energy,42.4355788,-83.1420001,MI,electric
Granite Reliable Power Substation,NextEra Energy,44.7037811,-71.2923296,NH,electric
Paris Substation,Eversource,44.6277875,-71.2544717,NH,electric
MF Mesa Lane LLC,MF Mesa Lane LLC,40.1490196,-74.7772241,NJ,electric
"""Y"" Substation",PowerSouth Energy Cooperative,32.4631889,-85.5636732,AL,electric
Thompsontown Substation,PPL,40.5625306,-77.2476493,PA,electric
Georgetown Substation,Volunteer Energy Cooperative,35.3220731,-84.9659994,TN,electric
DG AMP Solar Piqua Staunton,"DG AMP Solar, LLC",40.140873,-84.2306977,OH,electric
Willow Beach Substation,Guntersville Electric Board,34.3251323,-86.3340199,AL,electric
Mueller Co. Substation,Albertville Municipial Utilities Board,34.2309596,-86.184527,AL,electric
Davis Gap Substation,Fort Payne Improvement Authority,34.4143482,-85.7463635,AL,electric
E-Volve Energy Holdings,E-Volve Energy Holdings LLC,29.740808,-96.1598457,TX,electric
CatanSolar,"Adapture Renewables, Inc.",28.8709901,-97.6979933,TX,electric
"Alexis Solar, LLC",Sol Systems,26.8883418,-98.2341403,TX,electric
Mars Solar,Sol Systems,27.4233918,-98.8302489,TX,electric
Sapphire Solar,"Sapphire Solar, LLC",33.8876067,-79.7839908,SC,electric
Blacktip Solar,"Blacktip Solar, LLC",33.9003141,-79.7548775,SC,electric
Hudson #7 Substation,National Grid,42.4611832,-70.9831166,MA,electric
Guyton Solar,Georgia Power,32.2323756,-81.3674079,GA,electric
Cardinal Solar,Cardinal Solar LLC,34.2002113,-79.38635,SC,electric
Redwing Solar,"Redwing Solar, LLC",34.2744986,-79.886325,SC,electric
Greene Durham Solar,"Safari Energy, LLC",33.6350194,-83.0929618,GA,electric
Columbia Substation Solar,Westbound Solar LLC,33.5684097,-82.3022787,GA,electric
Richmond Hayes Solar,Westbound Solar LLC,33.3635088,-82.0216258,GA,electric
Apalachicola Solar,Westbound Solar LLC,33.3359827,-82.0606318,GA,electric
Upson Rocky Creek Solar Plant,Axium US Solar Holdings LLC,32.9205883,-84.3433472,GA,electric
Troup RC50 II Solar,"Safari Energy, LLC",32.8996821,-84.8941684,GA,electric
Meriwether Jackson Solar,"Safari Energy, LLC",32.8808114,-84.6488925,GA,electric
Harris Shiloh Solar,Westbound Solar LLC,32.7952813,-84.69438,GA,electric
Bibb Jones Solar,Westbound Solar LLC,32.7778587,-83.7588778,GA,electric
Baxley Solar,"SR Baxley, LLC",31.87825,-82.3274875,GA,electric
Hazlehurst III Solar,"SR Hazlehurst III, LLC",31.8322382,-82.6025031,GA,electric
Hazlehurst II Solar,"SR South Loving, LLC",31.8196703,-82.6022912,GA,electric
SR Hazlehurst,"SR Hazlehurst, LLC",31.8086589,-82.5764442,GA,electric
Snipesville Solar Farm,SR Snipesville,31.7087273,-82.7435947,GA,electric
Ware Avra I Solar,"Safari Energy, LLC",31.1840193,-82.3230324,GA,electric
Ware Avra II Solar,"Safari Energy, LLC",31.1877183,-82.3247382,GA,electric
Lowndes IDA SOlar,"Safari Energy, LLC",30.833064,-83.2200381,GA,electric
Lowndes Tycor Farms Solar,"Safari Energy, LLC",30.6904761,-83.1655625,GA,electric
Pecan Row Landfill To Electric Facility,"EDL, Inc.",30.8188343,-83.3601835,GA,electric
Evans County Solar Farm,SolAmerica,32.1408979,-81.9564884,GA,electric
Baldwin County Solar #2,SolAmerica,33.088464,-83.290886,GA,electric
Baldwin County Solar #1,SolAmerica,33.0249155,-83.2274393,GA,electric
Seminole Solar,Terraform Arcadia,31.0616067,-84.8989655,GA,electric
Cowarts Substation,Alabama Power,31.1884127,-85.3039767,AL,electric
H. B. Robinson Nuclear Generating Station,Duke Energy Progress,34.4028903,-80.1592016,SC,electric
Gary Solar,"Gary Solar, LLC",34.1989679,-80.2210564,SC,electric
Gaines Solar,Gaines Solar,34.1922712,-80.2183274,SC,electric
Sharon Grove Substation,Duke Energy,34.9762717,-81.4169101,SC,electric
Greenville North Substation,Entergy Mississippi,33.4386409,-91.0417963,MS,electric
Timmonsville Substation,Pee Dee Electric Coorperative,34.1781565,-79.9485914,SC,electric
Oakdale Substation#21,Pee Dee Electic Coorperative,34.1732935,-79.8984391,SC,electric
Carroll County Energy Substation,Ohio Power,40.6042391,-81.0628115,OH,electric
Priam Substation,Willmar Municipal Utilities,45.0702782,-95.135508,MN,electric
Leffingwell Substation,Consumers Energy,42.9702861,-85.5947413,MI,electric
Kettering Solar 1,Tesla Inc.,34.7013782,-118.124814,CA,electric
Hunters Point Substation,Pacific Gas and Electric Company,37.73689,-122.3769706,CA,electric
Beach Street Substation,Pacific Gas and Electric Company,37.8076265,-122.4145321,CA,electric
Marina Substation,Pacific Gas and Electric Company,37.8035663,-122.4329689,CA,electric
Hecate Energy Blair Road Solar,"Hecate Energy Blair Road, LLC",30.2860392,-81.8351178,FL,electric
Leno Substation,Florida Power & Light,29.8868278,-81.7024819,FL,electric
Mill Creek Switching Substation FPL,Florida Power & Light,29.9916742,-81.5308407,FL,electric
Egret Solar Center,Florida Power & Light,30.2932032,-82.1865652,FL,electric
Claude Substation,Florida Power & Light,30.2911346,-82.1893766,FL,electric
Facebook 2-3 Solar Energy Center,PNM,35.1004333,-107.6141892,NM,electric
Pacolet Diesel Generation Facility,Lockhart Power,34.8987372,-81.7395797,SC,electric
City West Diesel Plant,Lockhart Power,34.7225347,-81.6470932,SC,electric
Neal Shoals Dam,"Dominion Energy South Carolina, Inc",34.66434,-81.4483889,SC,electric
"ESA Hamlet NC , LLC",ESA Hamlet NC LLC,34.8802076,-79.673716,NC,electric
Wailea Substation,Maui Electric Company,20.6837131,-156.4300062,HI,electric
Pulehu Switching Station,Maui Electric Company,20.7800721,-156.3451645,HI,electric
Kula Park Substation,Maui Electric Company,20.7868248,-156.3501132,HI,electric
Maalaea Substation,Maui Electric Company,20.8015088,-156.4938062,HI,electric
Kula Substation,Maui Electric Company,20.7552428,-156.3069066,HI,electric
Pukalani Substation,Maui Electric Company,20.8249502,-156.330467,HI,electric
Waiehu Substation,Maui Electric Company,20.9182254,-156.4973247,HI,electric
Paia Mauka Substation,Maui Electric Company,20.9143622,-156.382211,HI,electric
Spreckelsville Substation,Maui Electric Company,20.9070601,-156.4045009,HI,electric
Kaheawa Wind Power II Substation,Maui Electric Company,20.8120871,-156.5478707,HI,electric
Georgia LFG Pine Ridge Plant,"Cube District Energy, LLC",33.244242,-84.1219463,GA,electric
ADS Renewable Energy-Wolf Creek LLC,"ADS Renewable Energy- Wolf Creek, LLC",32.7751846,-83.4348026,GA,electric
Meridian II Solar,SR Meridian II,32.54903,-88.5780081,MS,electric
Arnold Cochran Solar,Westbound Solar LLC,32.3982644,-83.345017,GA,electric
Coody Cochran Solar,Westbound Solar LLC,32.368431,-83.3683321,GA,electric
Springhill Gas Recovery Plant,WM Renewable Energy LLC,30.9247228,-85.4288882,FL,electric
Taylor Power Plant,EDL Inc,32.4523108,-84.3875346,GA,electric
Benndale Power Plant,Cooperative Energy,30.8892188,-88.8062433,MS,electric
Pea Ridge Power Plant,Florida Power & Light,30.5923168,-87.1353819,FL,electric
W&T Onshore Treating Facility Cogen,W&T Offshore Inc,30.431038,-88.181764,AL,electric
Sub 12,City of Tallahassee - (FL),30.4597888,-84.2604547,FL,electric
SR Arlington I,"SR Arlington, LLC",31.4050499,-84.836973,GA,electric
Fort Valley State University Solar,Georgia Power,32.5014963,-83.8806367,GA,electric
General Electric Plastic,Alabama Power,32.3102836,-86.525339,AL,electric
International Paper Riverdale Mill,International Paper Co-Riverdl,32.4257515,-86.8696126,AL,electric
Georgia-Pacific Cedar Springs,Georgia-Pacific Cedar Springs LLC,31.1661749,-85.0955683,AL,electric
Georgia-Pacific Brewton Mill,Georgia-Pacific Brewton LLC,31.0770316,-87.1111067,AL,electric
Mead Coated Board Cogeneration,Mead Coated Board Inc,32.1766439,-85.0275607,GA,electric
Alabama Pine and River Pulp Cogen,Alabama River Cellulose LLC,31.5828261,-87.4885647,AL,electric
Riverwood International Macon Mill,Riverwood Intl USA Inc,32.7720459,-83.6285479,GA,electric
International Paper Pine Hill Mill Cogen,International Paper Co.,31.9697561,-87.4807621,AL,electric
PCA-Valdosta Mill,PCA-Valdosta Mill,30.694216,-83.3046108,GA,electric
Pensacola Florida Plant,Ascend Performance Materials LLC,30.5981453,-87.2488743,FL,electric
Kimberly Clark Mobile - CHP Plant,Kimberly Clark - Mobile Alabama,30.7361322,-88.0502473,AL,electric
Gulf Power Blue Indigo Energy,Florida Power & Light,30.8783322,-85.3986222,FL,electric
SR Perry Solar,"SR Perry, LLC",32.3801682,-83.7616539,GA,electric
Quitman II Solar,"Quitman II Solar, LLC",30.8597947,-83.6562403,GA,electric
SR Lumpkin Solar,"SR Lumpkin, LLC",32.0246315,-84.7365511,GA,electric
Flint River Power Plant,Georgia Power,31.6028681,-84.1374739,GA,electric
Thurlow Hydroelectric Generating Plant,Alabama Power,32.5346819,-85.8891337,AL,electric
Point A Power Station,PowerSouth Energy Cooperative,31.361311,-86.518724,AL,electric
Terrell Riles Stovall,"Safari Energy, LLC",31.7886217,-84.4577596,GA,electric
Blue Springs Solar,Florida Power & Light Co,30.7876726,-85.086354,FL,electric
Cotton Creek Solar Energy Center,Florida Power & Light,30.8494284,-87.3457504,FL,electric
